name	fraction	color
Мамка Григорій Миколайович	2.0	blue
Кальцев Володимир Федорович	2.0	blue
Павленко Юрій Олексійович	2.0	blue
Приходько Наталія Ігорівна	2.0	blue
Чорний Віктор Іванович	2.0	blue
Борт Віталій Петрович	2.0	blue
Макаренко Михайло Васильович	2.0	blue
Волошин Олег Анатолійович	2.0	blue
Плачкова Тетяна Михайлівна	2.0	blue
Пузанов Олександр Геннадійович	2.0	blue
Мамоян Суто Чолоєвич	2.0	blue
Кива Ілля Володимирович	2.0	blue
Кузьмін Ренат Равелійович	2.0	blue
Качний Олександр Сталіноленович	2.0	blue
Славицька Антоніна Керимівна	2.0	blue
Тимошенко Юлія Володимирівна	3.0	pink
Тарута Сергій Олексійович	3.0	pink
Наливайченко Валентин Олександрович	3.0	pink
Соболєв Сергій Владиславович	3.0	pink
Кондратюк Олена Костянтинівна	0.0	grey
Кириленко Іван Григорович	3.0	pink
Кожем'якін Андрій Анатолійович	3.0	pink
Немиря Григорій Михайлович	3.0	pink
Власенко Сергій Володимирович	3.0	pink
Дубіль Валерій Олександрович	3.0	pink
Абдуллін Олександр Рафкатович	3.0	pink
Крулько Іван Іванович	3.0	pink
Лабунська Анжеліка Вікторівна	3.0	pink
Бондарєв Костянтин Анатолійович	3.0	pink
Цимбалюк Михайло Михайлович	3.0	pink
Данілов Віталій Богданович	3.0	pink
Бєлькова Ольга Валентинівна	3.0	pink
Кучеренко Олексій Юрійович	3.0	pink
Ніколаєнко Андрій Іванович	3.0	pink
Волинець Михайло Якович	3.0	pink
Пузійчук Андрій Вікторович	3.0	pink
Шкрум Альона Іванівна	3.0	pink
Кабаченко Володимир Вікторович	3.0	pink
Івченко Вадим Євгенович	3.0	pink
Порошенко Петро Олексійович	4.0	red
Парубій Андрій Володимирович	4.0	red
Геращенко Ірина Володимирівна	4.0	red
Забродський Михайло Віталійович	4.0	red
Федина Софія Романівна	4.0	red
Джемілєв Мустафа	4.0	red
Зінкевич Яна Вадимівна	4.0	red
Чийгоз Ахтем Зейтуллайович	4.0	red
Синютка Олег Михайлович	4.0	red
Климпуш-Цинцадзе Іванна Орестівна	4.0	red
Герасимов Артур Володимирович	4.0	red
Кубів Степан Іванович	4.0	red
Фріз Ірина Василівна	4.0	red
Южаніна Ніна Петрівна	4.0	red
Луценко Ірина Степанівна	4.0	red
Сюмар Вікторія Петрівна	4.0	red
Ар'єв Володимир Ігорович	4.0	red
Павленко Ростислав Миколайович	4.0	red
Величкович Микола Романович	4.0	red
Алєксєєв Сергій Олегович	4.0	red
Князевич Руслан Петрович	4.0	red
Саврасов Максим Віталійович	4.0	red
Іонова Марія Миколаївна	4.0	red
Вакарчук Святослав Іванович	5.0	yellow
Клименко Юлія Леонідівна	5.0	yellow
Рудик Кіра Олександрівна	5.0	yellow
Железняк Ярослав Іванович	5.0	yellow
Устінова Олександра Юріївна	5.0	yellow
Макаров Олег Анатолійович	5.0	yellow
Юрчишин Ярослав Романович	5.0	yellow
Рахманін Сергій Іванович	5.0	yellow
Бобровська Соломія Анатоліївна	5.0	yellow
Стефанишина Ольга Анатоліївна	5.0	yellow
Цабаль Володимир Володимирович	5.0	yellow
Осадчук Андрій Петрович	5.0	yellow
Костенко Роман Васильович	5.0	yellow
Лозинський Роман Михайлович	5.0	yellow
Совсун Інна Романівна	5.0	yellow
Василенко Леся Володимирівна	5.0	yellow
Умєров Рустем Енверович	5.0	yellow
Ларін Сергій Миколайович	2.0	blue
Остапенко Анатолій Дмитрович	1.0	green
Циба Тетьяна Вікторівна	1.0	green
Калаур Іван Романович	1.0	green
Гришина Юлія Миколаївна	1.0	green
Руденко Ольга Сергіївна	1.0	green
